ticket_id,account_id,customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,submitted_at,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,customer_message,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,resolved_at,escalated_prior_to_resolution,resolution_hours,final_priority,sla_breached
TCK-202500000,ACC-93810,SMB,Wales,email,Reporting,service_outage,Critical,2025-09-06 18:51:00,Saturday,18,40.0,7522.08,2,-0.059,Client asks for urgent support regarding service outage; impact: an integration partner is blocked. ASAP.,105,1,0,5.0,Amelia,6,23.113259850068072,227.25914291607015,0,2025-09-07 20:56:43,1,26.1,Critical,1
TCK-202500001,ACC-82357,SMB,East Midlands,web,Billing,data_quality,Medium,2026-02-27 08:29:00,Friday,8,39.0,5961.51,1,0.232,The user cannot complete a workflow in Billing. Error appears during data quality.,82,0,0,33.0,Isla,30,18.472217700233784,1235.6933964599034,0,2026-02-28 05:55:43,0,21.45,Medium,0
TCK-202500002,ACC-45093,SMB,East Midlands,web,Api Integration,access_request,Medium,2025-10-19 05:16:00,Sunday,5,27.0,12098.44,1,0.711,Ticket raised through support queue for API Integration; customer notes access request and asks for next steps.,111,0,0,38.0,Muhammad,19,21.180546067675976,850.1869890310861,0,2025-10-19 17:38:32,0,12.38,Medium,0
TCK-202500003,ACC-44973,Enterprise,Northern Ireland,web,Workflow Automation,how_to,Critical,2025-12-01 03:05:00,Monday,3,29.0,23198.54,0,-0.567,Customer reports how to in Workflow Automation. They need help because a compliance deadline is near.,101,0,0,23.0,Isla,25,51.494385519292706,886.0528134128077,0,2025-12-01 10:42:39,1,7.63,Critical,1
TCK-202500004,ACC-26483,SMB,South West,email,Security,performance,High,2026-01-16 11:48:00,Friday,11,26.0,15328.55,0,-0.296,Customer reports performance in Security. They need help because payment processing is blocked. deadline.,105,1,0,30.0,Harry,35,0.1736462119724411,330.77519440937783,0,2026-01-16 23:11:33,0,11.39,High,0
TCK-202500005,ACC-22704,Mid-Market,Northern Ireland,web,Reporting,bug,High,2025-11-13 07:04:00,Thursday,7,23.0,7173.31,0,-0.875,Customer reports bug in Reporting. They need help because payment processing is blocked.,88,0,0,37.0,Isla,34,0.9528781677323869,647.084925897063,0,2025-11-14 01:22:50,0,18.31,High,0
TCK-202500006,ACC-61173,SMB,South West,phone,Mobile App,access_request,Medium,2025-10-05 13:40:00,Sunday,13,14.0,16662.45,2,1.0,The user cannot complete a workflow in Mobile App. Error appears during access request.,87,0,0,0.0,Ava,19,68.56121169415644,47.46584040321537,0,2025-10-06 18:53:26,0,29.22,Medium,0
TCK-202500007,ACC-51180,SMB,South East,phone,Workflow Automation,bug,High,2025-12-23 01:53:00,Tuesday,1,87.0,4070.16,6,0.033,Customer reports bug in Workflow Automation. They need help because the issue affects only one user.,100,0,0,41.0,Muhammad,10,25.351751494434488,449.62566985217313,1,2025-12-23 17:37:39,0,15.74,High,0
TCK-202500008,ACC-36685,Mid-Market,Wales,email,Billing,data_quality,High,2025-09-09 00:37:00,Tuesday,0,58.0,16967.11,2,0.07,Account team escalated a customer case connected to Billing. Main issue: data quality.,86,0,0,27.0,Ava,20,38.26412800355664,355.21861367294326,0,2025-09-10 04:48:49,1,28.2,High,1
TCK-202500009,ACC-63264,Public Sector,West Midlands,email,Mobile App,billing_query,Critical,2025-10-03 15:38:00,Friday,15,26.0,7572.67,5,-0.416,Client asks for urgent support regarding billing query; impact: the customer is threatening cancellation.,105,0,0,54.0,Sophie,45,27.83479332110908,1053.292756654433,0,2025-10-05 07:47:19,1,40.16,Critical,1
